X;Y;STD
0.000000;8.670576;0.648690
0.630000;9.467831;0.564049
1.260000;9.586698;0.469832
1.890000;9.677500;0.395857
2.520000;9.747818;0.510779
3.150000;10.020818;0.383458
3.780000;10.126875;0.423237
4.410000;10.175788;0.421517
5.040000;10.218158;0.449869
5.670000;10.261034;0.531406
6.300000;10.314915;0.577809
6.930000;10.346000;0.584134
7.560000;10.312376;0.565325
8.190000;10.188442;0.471490
8.820000;9.983467;0.397962
9.450000;9.956666;0.389545
10.079999;9.954999;0.419104
10.710000;9.973359;0.446440
11.340000;10.068692;0.502754
11.969999;10.068692;0.601377
12.600000;10.248636;0.829163
13.229999;10.424776;1.000040
13.859999;10.557132;1.173993
14.489999;10.651323;1.217113
15.120000;10.770220;1.104234
15.750000;10.802647;0.772118
16.380000;10.805869;0.537114
17.009999;10.886522;0.577462
17.639999;11.065499;0.738914
18.269999;11.109000;0.814406
18.900000;10.854000;0.807723
19.530000;10.678943;0.725839
20.159999;10.506000;0.567632
20.789999;10.544366;0.671898
21.419999;10.899296;0.741543
22.049999;10.932000;0.766371
22.679999;10.615352;0.849400
23.310000;10.452675;0.656270
23.939998;10.394999;0.515005
24.569999;10.324014;0.477696
25.200000;10.325493;0.438785
25.829998;10.375500;0.451900
26.459998;10.440845;0.513702
27.089998;10.488168;0.508493
27.719998;10.495500;0.523623
28.349999;10.423099;0.579931
28.979999;10.362464;0.541912
29.609999;10.412999;0.547037
30.239999;10.523661;0.592980
30.870000;10.659718;0.579377
31.500000;10.654499;0.606493
32.130000;10.523661;0.631038
32.760000;10.270774;0.594049
33.389997;10.108098;0.509521
34.019998;10.087291;0.491042
34.649998;10.087394;0.451827
35.279998;10.074166;0.436765
35.909998;10.020208;0.461620
36.539999;10.031874;0.326906
37.169999;10.027499;0.320780
37.799999;10.014375;0.285651
38.429999;9.891576;0.292856
39.060000;9.874374;0.302833
39.690000;9.890416;0.324883
40.319997;9.957500;0.374918
40.949997;10.026760;0.381187
41.579998;10.093310;0.363695
42.209998;10.099500;0.398166
42.839998;10.114500;0.388316
43.469998;10.145999;0.355487
44.099998;10.112999;0.390278
44.729999;10.227000;0.470710
45.359999;10.314000;0.578437
45.989999;10.369859;0.577652
46.619999;10.392000;0.559556
47.250000;10.378499;0.531451
47.879997;10.260422;0.373088
48.509997;10.139154;0.343420
49.139997;9.985352;0.296008
49.769998;9.847817;0.267787
50.400001;9.825633;0.236885
51.029998;9.785416;0.243527
51.659995;9.823333;0.260672
52.289999;9.878629;0.312234
52.919996;9.905959;0.314377
53.549999;9.949459;0.308206
54.179996;9.950878;0.299254
54.809999;9.972200;0.298938
55.439997;10.000199;0.304732
56.070000;10.057297;0.302589
56.699997;10.109399;0.352053
57.330000;10.147200;0.400157
57.959998;10.179324;0.440396
58.590001;10.223310;0.509606
59.219998;10.217635;0.517541
59.849995;10.217083;0.464534
60.479999;10.208333;0.522728
61.109996;10.161338;0.727072
61.739999;10.211249;0.662173
62.369996;10.328450;0.508396
63.000000;10.423099;0.449619
63.629997;10.491250;0.355542
64.260000;10.570986;0.442602
64.889997;10.640492;0.375471
65.520000;10.753749;0.448481
66.149998;10.847535;0.391918
66.779995;10.976197;0.417346
67.409998;11.025000;0.327803
68.039995;11.101499;0.376053
68.669999;11.255704;0.368662
69.299996;11.397675;0.405633
69.929999;11.584500;0.386281
70.559996;11.683098;0.354185
71.190000;11.697887;0.344256
71.819997;11.656499;0.395877
72.450000;11.632816;0.345739
73.079997;11.609154;0.350581
73.709995;11.578500;0.353142
74.339998;11.503500;0.347170
74.969995;11.415000;0.371924
75.599998;11.200500;0.366641
76.229995;11.035500;0.371935
76.859999;10.981500;0.385786
77.489996;10.865217;0.366613
78.119999;10.822608;0.365622
78.749996;10.696305;0.377905
79.380000;10.683750;0.328295
80.009997;10.668913;0.309739
80.639994;10.606521;0.257489
81.269997;10.496911;0.236142
81.899995;10.547173;0.460836
82.529998;10.585216;0.519428
83.159995;11.029565;0.773951
83.789998;11.334000;0.808840
84.419996;11.475434;0.693524
85.049999;11.557608;0.494862
85.679996;11.483999;0.525649
86.309999;10.986000;0.769786
86.939996;10.507499;0.731205
87.570000;10.313661;0.586661
88.199997;10.279647;0.474566
88.829994;10.207500;0.328647
89.459997;10.276689;0.335733
90.089995;10.377253;0.304719
90.719998;10.389084;0.295343
91.349995;10.376041;0.342633
91.979998;10.368749;0.380901
92.609996;10.240416;0.517055
93.239999;10.186478;0.434358
93.869996;10.078521;0.670012
94.499999;10.174647;0.384555
95.129997;10.164000;0.532619
95.759994;10.145070;0.408512
96.389997;10.158379;0.374974
97.019994;10.174499;0.306454
97.649997;10.168499;0.290353
98.279995;10.155000;0.241491
98.909998;10.142390;0.219914
99.539995;10.125000;0.214861
100.169992;10.084499;0.275787
100.800002;10.089000;0.240572
101.429999;10.102500;0.266747
102.059996;10.128000;0.282675
102.689993;10.195500;0.268087
103.319991;10.224000;0.281837
103.950000;10.338000;0.289827
104.579997;10.432500;0.380681
105.209994;10.539000;0.334951
105.839992;10.645499;0.366883
106.470001;10.845435;0.429069
107.099998;10.959564;0.608881
107.729995;11.131499;0.775563
108.359993;11.262392;0.972192
108.990002;11.122500;1.020841
109.619999;11.194500;1.038427
110.249996;11.570999;1.191596
110.879993;11.784348;1.050170
111.509991;11.829999;1.020628
112.140000;11.695499;0.949044
112.769997;11.476056;0.744839
113.399994;11.240914;0.591850
114.029992;11.375493;0.636363
114.660001;11.486408;0.799365
115.289998;11.690000;0.773765
115.919995;11.936458;0.669089
116.549993;12.103767;0.652207
117.180002;12.167054;0.585770
117.809999;12.172808;0.568601
118.439996;12.147364;0.543942
119.069993;12.059391;0.553917
119.699991;12.011148;0.571945
120.330000;11.887702;0.575177
120.959997;11.373600;0.511574
121.589994;11.057635;0.360398
122.219992;10.803648;0.246290
122.850001;10.749200;0.218741
123.479998;10.747800;0.323807
124.109995;10.738000;0.343488
124.739993;10.629868;0.297419
125.369990;10.546200;0.367838
125.999999;10.473400;0.346383
126.629996;10.446118;0.261955
127.259994;10.411800;0.261736
127.889991;10.435600;0.202083
128.520000;10.388092;0.247027
129.149997;10.388000;0.243893
129.779994;10.353000;0.262296
130.409992;10.310723;0.260027
131.040001;10.290000;0.271109
131.669998;10.220000;0.213688
132.299995;10.196052;0.191639
132.929993;10.190600;0.186940
133.559990;10.201800;0.192478
134.189999;10.201579;0.231068
134.819996;10.278799;0.246439
135.449994;10.290000;0.246694
136.079991;10.263750;0.279950
136.710000;10.198999;0.340497
137.339997;10.166800;0.379694
137.969995;10.122829;0.425202
138.599992;10.016447;0.435291
139.230001;9.994600;0.412471
139.859998;10.066184;0.235604
140.489995;10.081381;0.224989
141.119993;10.100999;0.252013
141.749990;10.115920;0.264743
142.379999;10.161512;0.276555
143.009996;10.239600;0.257416
143.639994;10.281599;0.320218
144.269991;10.343200;0.296669
144.900000;10.372297;0.327192
145.529997;10.357200;0.363182
146.159995;10.299800;0.415494
146.789992;10.272972;0.442468
147.419989;10.200608;0.549043
148.049998;10.326971;0.442717
148.679996;10.412260;0.630244
149.309993;10.573356;0.329150
149.939990;10.617770;0.387515
150.569999;10.658219;0.395216
151.199996;10.629452;0.402932
151.829994;10.630890;0.453803
152.459991;10.691041;0.461794
153.090000;10.727260;0.652381
153.719997;10.699931;0.830633
154.349995;10.804647;0.719558
154.979992;10.961712;0.601228
155.609989;11.101232;0.377685
156.239998;11.227807;0.393395
156.869996;11.376891;0.471617
157.499993;11.583082;0.522796
158.129990;11.767191;0.524079
158.759999;11.911824;0.467075
159.389997;11.991575;0.455844
